logging_scheme,logging_seed,method,target_budget,episodes,success_rate,intervention_rate,matched_oracle_success_rate,regret_to_matched_oracle,request_precision,nominal_false_alarm_rate
randomized,211,s_learner,0.75,240,0.9,0.75,0.9958333333333333,0.09583333333333333,0.6055555555555555,0.6875
randomized,211,t_learner,0.1,240,0.5208333333333334,0.1,0.55,0.029166666666666674,0.7083333333333334,0.041666666666666664
randomized,211,t_learner,0.25,240,0.6208333333333333,0.25,0.7,0.07916666666666661,0.6833333333333333,0.10416666666666667
randomized,211,t_learner,0.5,240,0.775,0.5,0.95,0.17499999999999993,0.65,0.3333333333333333
randomized,211,t_learner,0.75,240,0.8916666666666667,0.75,0.9958333333333333,0.10416666666666663,0.5944444444444444,0.6458333333333334
randomized,211,ipw_learner,0.1,240,0.5,0.1,0.55,0.050000000000000044,0.5,0.10416666666666667
randomized,211,ipw_learner,0.25,240,0.575,0.25,0.7,0.125,0.5,0.3541666666666667
randomized,211,ipw_learner,0.5,240,0.7083333333333334,0.5,0.95,0.24166666666666659,0.5166666666666667,0.6041666666666666
randomized,211,ipw_learner,0.75,240,0.8166666666666667,0.75,0.9958333333333333,0.1791666666666667,0.49444444444444446,0.8541666666666666
randomized,211,dr_learner,0.1,240,0.5125,0.1,0.55,0.03750000000000009,0.625,0.041666666666666664
randomized,211,dr_learner,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.16666666666666666
randomized,211,dr_learner,0.5,240,0.775,0.5,0.95,0.17499999999999993,0.65,0.3125
randomized,211,dr_learner,0.75,240,0.875,0.75,0.9958333333333333,0.12083333333333335,0.5833333333333334,0.6666666666666666
randomized,211,reversibility_proxy,0.1,240,0.525,0.1,0.55,0.025000000000000022,0.75,0.041666666666666664
randomized,211,reversibility_proxy,0.25,240,0.6291666666666667,0.25,0.7,0.0708333333333333,0.7166666666666667,0.10416666666666667
randomized,211,reversibility_proxy,0.5,240,0.7875,0.5,0.95,0.16249999999999998,0.675,0.20833333333333334
randomized,211,reversibility_proxy,0.75,240,0.9,0.75,0.9958333333333333,0.09583333333333333,0.6055555555555555,0.5416666666666666
randomized,307,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
randomized,307,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
randomized,307,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
randomized,307,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
randomized,307,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
randomized,307,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
randomized,307,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
randomized,307,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
randomized,307,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
randomized,307,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
randomized,307,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
randomized,307,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
randomized,307,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
randomized,307,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
randomized,307,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
randomized,307,s_learner,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.125
randomized,307,s_learner,0.25,240,0.6166666666666667,0.25,0.7,0.08333333333333326,0.6666666666666666,0.22916666666666666
randomized,307,s_learner,0.5,240,0.725,0.5,0.95,0.22499999999999998,0.5583333333333333,0.375
randomized,307,s_learner,0.75,240,0.875,0.75,0.9958333333333333,0.12083333333333335,0.5666666666666667,0.6666666666666666
randomized,307,t_learner,0.1,240,0.49583333333333335,0.1,0.55,0.054166666666666696,0.4583333333333333,0.020833333333333332
randomized,307,t_learner,0.25,240,0.5916666666666667,0.25,0.7,0.10833333333333328,0.5666666666666667,0.10416666666666667
randomized,307,t_learner,0.5,240,0.7583333333333333,0.5,0.95,0.19166666666666665,0.6166666666666667,0.3333333333333333
randomized,307,t_learner,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6,0.5625
randomized,307,ipw_learner,0.1,240,0.5041666666666667,0.1,0.55,0.04583333333333339,0.5416666666666666,0.125
randomized,307,ipw_learner,0.25,240,0.5708333333333333,0.25,0.7,0.12916666666666665,0.5166666666666667,0.3333333333333333
randomized,307,ipw_learner,0.5,240,0.7125,0.5,0.95,0.23749999999999993,0.5416666666666666,0.4583333333333333
randomized,307,ipw_learner,0.75,240,0.8125,0.75,0.9958333333333333,0.18333333333333335,0.5,0.6875
randomized,307,dr_learner,0.1,240,0.5125,0.1,0.55,0.03750000000000009,0.625,0.041666666666666664
randomized,307,dr_learner,0.25,240,0.6166666666666667,0.25,0.7,0.08333333333333326,0.6666666666666666,0.16666666666666666
randomized,307,dr_learner,0.5,240,0.7666666666666667,0.5,0.95,0.18333333333333324,0.6333333333333333,0.2708333333333333
randomized,307,dr_learner,0.75,240,0.85,0.75,0.9958333333333333,0.14583333333333337,0.5444444444444444,0.5833333333333334
randomized,307,reversibility_proxy,0.1,240,0.5083333333333333,0.1,0.55,0.04166666666666674,0.5833333333333334,0.041666666666666664
randomized,307,reversibility_proxy,0.25,240,0.6083333333333333,0.25,0.7,0.09166666666666667,0.6333333333333333,0.10416666666666667
randomized,307,reversibility_proxy,0.5,240,0.8041666666666667,0.5,0.95,0.14583333333333326,0.7083333333333334,0.125
randomized,307,reversibility_proxy,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.5944444444444444,0.5625
randomized,401,never_help,0.0,240,0.45,0.0,0.45,0.0,,0.0
randomized,401,always_help,1.0,240,0.9833333333333333,1.0,0.9958333333333333,0.012500000000000067,0.5375,1.0
randomized,401,oracle_value,,240,0.9958333333333333,0.5458333333333333,0.9958333333333333,0.0,1.0,0.10416666666666667
randomized,401,paired_label_oracle,0.1,240,0.5375,0.1,0.55,0.012500000000000067,0.875,0.08333333333333333
randomized,401,paired_label_oracle,0.25,240,0.6625,0.25,0.7,0.03749999999999998,0.85,0.125
randomized,401,paired_label_oracle,0.5,240,0.8166666666666667,0.5,0.95,0.1333333333333333,0.7333333333333333,0.2708333333333333
randomized,401,paired_label_oracle,0.75,240,0.9166666666666666,0.75,0.9958333333333333,0.07916666666666672,0.6277777777777778,0.5208333333333334
randomized,401,failure_risk,0.1,240,0.5166666666666667,0.1,0.55,0.033333333333333326,0.6666666666666666,0.0625
randomized,401,failure_risk,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.14583333333333334
randomized,401,failure_risk,0.5,240,0.7625,0.5,0.95,0.1875,0.625,0.4166666666666667
randomized,401,failure_risk,0.75,240,0.8666666666666667,0.75,0.9958333333333333,0.12916666666666665,0.5555555555555556,0.6458333333333334
randomized,401,ensemble_uncertainty,0.1,240,0.5291666666666667,0.1,0.55,0.02083333333333337,0.7916666666666666,0.020833333333333332
randomized,401,ensemble_uncertainty,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.041666666666666664
randomized,401,ensemble_uncertainty,0.5,240,0.8125,0.5,0.95,0.13749999999999996,0.725,0.10416666666666667
randomized,401,ensemble_uncertainty,0.75,240,0.8958333333333334,0.75,0.9958333333333333,0.09999999999999998,0.6166666666666667,0.4375
randomized,401,s_learner,0.1,240,0.5,0.1,0.55,0.050000000000000044,0.5,0.14583333333333334
randomized,401,s_learner,0.25,240,0.6125,0.25,0.7,0.08749999999999991,0.65,0.2708333333333333
randomized,401,s_learner,0.5,240,0.7416666666666667,0.5,0.95,0.20833333333333326,0.6,0.4583333333333333
randomized,401,s_learner,0.75,240,0.85,0.75,0.9958333333333333,0.14583333333333337,0.5611111111111111,0.7083333333333334
randomized,401,t_learner,0.1,240,0.5208333333333334,0.1,0.55,0.029166666666666674,0.7083333333333334,0.041666666666666664
randomized,401,t_learner,0.25,240,0.6375,0.25,0.7,0.0625,0.75,0.0625
randomized,401,t_learner,0.5,240,0.8,0.5,0.95,0.1499999999999999,0.7083333333333334,0.20833333333333334
randomized,401,t_learner,0.75,240,0.8916666666666667,0.75,0.9958333333333333,0.10416666666666663,0.6055555555555555,0.5625
randomized,401,ipw_learner,0.1,240,0.5083333333333333,0.1,0.55,0.04166666666666674,0.5833333333333334,0.10416666666666667
randomized,401,ipw_learner,0.25,240,0.5791666666666667,0.25,0.7,0.12083333333333324,0.55,0.3125
randomized,401,ipw_learner,0.5,240,0.7,0.5,0.95,0.25,0.5333333333333333,0.5208333333333334
